mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,Task,Model,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__max_features,param_model__n_estimators
0.18327016830444337,0.0008166707667620956,0.008784103393554687,6.597079565412545e-05,,,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.705949985628054,0.6961100365355685,0.6990113905007522,0.7032022351171288,0.6804212336127229,0.6969389762788453,0.00892462397366129,35,0.94879647539222,0.941940181471939,0.9586311190769575,0.9509129606810799,0.9459840932004033,0.94925296596452,0.005569130418383891,Pass/Fail Risk,Random Forest,,10,2.0,2.0,log2,200.0
0.09219865798950196,0.0003387925962089119,0.004878377914428711,7.243745000154702e-05,,,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.6883443518252371,0.7016978293574039,0.7131957876638728,0.716849344508919,0.686976144422953,0.7014126915556773,0.01229966103829975,27,0.9489039329464861,0.9358687128934693,0.9488966058026213,0.9414248907807774,0.9416825361263583,0.9433553357099426,0.00498130510611248,Pass/Fail Risk,Random Forest,,10,2.0,5.0,log2,100.0
0.182791805267334,0.0009404330667809662,0.008637952804565429,4.931183293059246e-05,,,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.6953866053463639,0.6931012250161186,0.7061035890823124,0.6996561358263487,0.6819256393724479,0.6952346389287183,0.007992342962616666,39,0.9436116483988825,0.9385235801501064,0.9531981628766664,0.9461073148874202,0.9404167133415482,0.9443714839309247,0.00512521042301265,Pass/Fail Risk,Random Forest,,10,2.0,5.0,log2,200.0
0.004101753234863281,0.00012532782791179557,0.001045560836791992,2.3809697394876584e-05,0.1,lbfgs,"{'model__C': 0.1, 'model__solver': 'lbfgs'}",0.7151051787421733,0.7345370284692021,0.7406457976335719,0.6744889024192426,0.7580693050267299,0.724569242458184,0.02855757530604421,1,0.737013039903789,0.7257350805695704,0.7239491361878873,0.7335957560936293,0.7195747065739729,0.7279735438657697,0.0064041986523961985,Commerce Risk,Logistic Regression,,,,,,
0.0022897720336914062,7.367820769470803e-05,0.0,0.0,0.1,liblinear,"{'model__C': 0.1, 'model__solver': 'liblinear'}",,,,,,,,4,,,,,,,,Commerce Risk,Logistic Regression,,,,,,
0.004037237167358399,1.6771251561639777e-05,0.0010196208953857423,1.7829246778542413e-05,1.0,lbfgs,"{'model__C': 1.0, 'model__solver': 'lbfgs'}",0.7076381820425034,0.7263887603713642,0.7474021336445315,0.6768186602028475,0.761402638360063,0.7239300749242619,0.02981974800654596,2,0.7305823123330786,0.722933281713909,0.7264770155005366,0.7362631046097351,0.7212278068853163,0.7274967042085151,0.0054320238782086935,Commerce Risk,Logistic Regression,,,,,,
0.002244710922241211,2.608303614025205e-05,0.0,0.0,1.0,liblinear,"{'model__C': 1.0, 'model__solver': 'liblinear'}",,,,,,,,4,,,,,,,,Commerce Risk,Logistic Regression,,,,,,
0.004056501388549805,0.00010437467632040071,0.0010145187377929687,9.89411250316718e-06,10.0,lbfgs,"{'model__C': 10.0, 'model__solver': 'lbfgs'}",0.7076381820425034,0.7263887603713642,0.7474021336445315,0.6768186602028475,0.761402638360063,0.7239300749242619,0.02981974800654596,2,0.7287231907296245,0.7221061518545212,0.7256963753756341,0.7344472677974622,0.7212278068853163,0.7264401585285116,0.004813137682577783,Commerce Risk,Logistic Regression,,,,,,
0.002285146713256836,8.108119183868027e-05,0.0,0.0,10.0,liblinear,"{'model__C': 10.0, 'model__solver': 'liblinear'}",,,,,,,,4,,,,,,,,Commerce Risk,Logistic Regression,,,,,,
0.0034729957580566405,5.9170937958528945e-05,0.0009961605072021484,3.0559793718135674e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.5587956108694981,0.5847598778569446,0.6012266495692197,0.6404462249159927,0.6589288873504865,0.6088314501124283,0.036469455698155344,58,0.6312018163554828,0.6494786162844447,0.6632531663341218,0.6600922433815083,0.6342960907935776,0.6476643866298271,0.013042090775272514,Commerce Risk,Decision Tree,gini,3,1.0,2.0,,
